samples	stack
3	semantics/arbitrary/ListPlan.materialize:3172;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149
3	model/testing/GJSchema.lowerOrdinaryOutput:169;model/testing/GJSchema.lowerSourceOutput$model_testFixtures:93;model/SourceSchemaAdapter.lowerOutput:36;model/ObjectValueScope.setTo:100;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3073;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149
3	model/lowering/LoweredSourceCoordinatesKt.loweredFieldFromSourceCoordinate:19;model/testing/GJSchema.fieldFromSource$model_testFixtures:71;model/SourceSchemaAdapter.field:26;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3071;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.isClosedUnderResolverDemand:38;semantics/correctresolution/CorrectResolutionKt.correctResolution:39;semantics/benchmark/CorrectResolutionBenchmarkSupport.correctResolution:90
3	model/lowering/LoweredSourceCoordinatesKt.loweredFieldFromSourceCoordinate:19;model/testing/GJSchema.fieldFromSource$model_testFixtures:71;model/SourceSchemaAdapter.field:26;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3071;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.isClosedUnderResolverDemand:38;semantics/correctresolution/CorrectResolutionKt.correctResolution:39;semantics/benchmark/CorrectResolutionBenchmarkSupport.correctResolution:90
2	model/testing/GJSchema.lowerOrdinaryOutput:187;model/testing/GJSchema.lowerOrdinaryOutput:172;model/testing/GJSchema.lowerSourceOutput$model_testFixtures:93;model/SourceSchemaAdapter.lowerOutput:36;model/ObjectValueScope.setTo:100;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3073;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121
2	model/testing/GJSchema.lowerOrdinaryOutput:187;model/testing/GJSchema.lowerOrdinaryOutput:172;model/testing/GJSchema.lowerSourceOutput$model_testFixtures:93;model/SourceSchemaAdapter.lowerOutput:36;model/ObjectValueScope.setTo:100;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3073;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ObjectPlan.materialize:3060;semantics/arbitrary/ObjectPlan.materialize:3050;semantics/arbitrary/ListPlan.materialize:3037;semantics/arbitrary/ListPlan.materialize:3026;semantics/arbitrary/ObjectPlan.materializeObject$lambda$0:3074;semantics.arbitrary.ObjectPlan$$Lambda+0x00007fefcc391f80/2057982392.invoke;model/ObjectConstructionKt.objectOf:23;semantics/arbitrary/ObjectPlan.materializeObject:3068;semantics/arbitrary/ArbitraryRegistry.world$lambda$6$0$0:397;semantics.arbitrary.ArbitraryRegistry$$Lambda+0x00007fefcc380840/1672732310.invoke;model/testing/NodeResolverLowering.loadNode:315;model/testing/NodeResolverLowering.payloadResolver$lambda$0:289;model.testing.NodeResolverLowering$$Lambda+0x00007fefcc39ecd0/577106572.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$3:207;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc382e40/1586290713.invoke;model/testing/FieldResolverDefinition$Companion.of$lambda$0:179;model.testing.FieldResolverDefinition$Companion$$Lambda+0x00007fefcc383060/1013022755.invoke;model/testing/FieldResolverDefinition.assemble$lambda$4:161;model.testing.FieldResolverDefinition$$Lambda+0x00007fefcc3a2f18/1335590586.invoke;model/registry/FieldResolver$Companion.of$lambda$2:295;model.registry.FieldResolver$Companion$$Lambda+0x00007fefcc3a39b8/1415528726.invoke;model/registry/FieldResolver.evaluateRelation:250;semantics/correctresolution/ResolverApplicationKt.reapplyResolver$lambda$0:122;semantics.correctresolution.ResolverApplicationKt$$Lambda+0x00007fefcc3fc208/629568144.invoke;semantics/correctresolution/ResolverApplicationCache.getOrPut:45;semantics/correctresolution/ResolverApplicationKt.reapplyResolver:69;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:120;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:115;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:149;semantics/correctresolution/IsClosedUnderResolverDemandKt.engineResultIsClosedUnderResolverDemand:154;semantics/correctresolution/IsClosedUnderResolverDemandKt.objectIsClosedUnderResolverDemand:121;semantics/correctresolution/IsClosedUnderResolverDemandKt.isClosedUnderResolverDemand:38;semantics/correctresolution/CorrectResolutionKt.correctResolution:39;semantics/benchmark/CorrectResolutionBenchmarkSupport.correctResolution:90;semantics/correctresolution/CorrectResolutionBenchmark.correctResolution:100;semantics/correctresolution/jmh_generated/CorrectResolutionBenchmark_correctResolution_jmhTest.correctResolution_ss_jmhStub:564;semantics/correctresolution/jmh_generated/CorrectResolutionBenchmark_correctResolution_jmhTest.correctResolution_SingleShotTime:501;java/lang/invoke/DirectMethodHandle$Holder.invokeSpecial;java.lang.invoke.LambdaForm$MH+0x00007fefcc025000/91231774.invoke
